Variables= X  Y  Z 
 zone T="sec 0" i= 201 j= 51 
  0.934508362   1.542029516   9.010000000
  0.973915184   1.554673928   9.010000000
  1.017487402   1.567565719   9.010000000
  1.065194080   1.580715456   9.010000000
  1.116984976   1.594090597   9.010000000
  1.172791623   1.607618359   9.010000000
  1.232528738   1.621189498   9.010000000
  1.296095968   1.634662982   9.010000000
  1.363379903   1.647871411   9.010000000
  1.434256307   1.660627010   9.010000000
  1.508592470   1.672727959   9.010000000
  1.586249608   1.683964837   9.010000000
  1.667085217   1.694126941   9.010000000
  1.750955308   1.703008259   9.010000000
  1.837716441   1.710412893   9.010000000
  1.927227501   1.716159760   9.010000000
  2.019351163   1.720086433   9.010000000
  2.113955018   1.722052038   9.010000000
  2.210912325   1.721939130   9.010000000
  2.310102410   1.719654573   9.010000000
  2.411410703   1.715129430   9.010000000
  2.514728450   1.708317958   9.010000000
  2.619952142   1.699195809   9.010000000
  2.726982709   1.687757583   9.010000000
  2.835724536   1.674013886   9.010000000
  2.946084368   1.657988069   9.010000000
  3.057970162   1.639712842   9.010000000
  3.171289961   1.619226912   9.010000000
  3.285950842   1.596571827   9.010000000
  3.401857988   1.571789177   9.010000000
  3.518913938   1.544918248   9.010000000
  3.637018039   1.515994255   9.010000000
  3.756066128   1.485047173   9.010000000
  3.875950447   1.452101237   9.010000000
  3.996559793   1.417175059   9.010000000
  4.117779887   1.380282352   9.010000000
  4.239493934   1.341433177   9.010000000
  4.361583344   1.300635626   9.010000000
  4.483928568   1.257897828   9.010000000
  4.606410014   1.213230150   9.010000000
  4.728908978   1.166647469   9.010000000
  4.851308567   1.118171383   9.010000000
  4.973494542   1.067832245   9.010000000
  5.095356071   1.015670899   9.010000000
  5.216786336   0.961740051   9.010000000
  5.337682976   0.906105183   9.010000000
  5.457948363   0.848844991   9.010000000
  5.577489691   0.790051312   9.010000000
  5.696218876   0.729828566   9.010000000
  5.814052310   0.668292736   9.010000000
  5.930910448   0.605569954   9.010000000
  6.046717294   0.541794760   9.010000000
  6.161399792   0.477108130   9.010000000
  6.274887168   0.411655364   9.010000000
  6.387110263   0.345583947   9.010000000
  6.498000888   0.279041475   9.010000000
  6.607491237   0.212173737   9.010000000
  6.715513379   0.145123038   9.010000000
  6.821998876   0.078026832   9.010000000
  6.926878506   0.011016698   9.010000000
  7.030082145   -0.055782300   9.010000000
  7.131538768   -0.122251878   9.010000000
  7.231176589   -0.188280427   9.010000000
  7.328923322   -0.253762582   9.010000000
  7.424706534   -0.318598517   9.010000000
  7.518454078   -0.382693025   9.010000000
  7.610094571   -0.445954466   9.010000000
  7.699557890   -0.508293663   9.010000000
  7.786775659   -0.569622815   9.010000000
  7.871681693   -0.629854528   9.010000000
  7.954212379   -0.688900996   9.010000000
  8.034306977   -0.746673425   9.010000000
  8.111907817   -0.803081717   9.010000000
  8.186960389   -0.858034436   9.010000000
  8.259413323   -0.911439083   9.010000000
  8.329218268   -0.963202644   9.010000000
  8.396329672   -1.013232390   9.010000000
  8.460704486   -1.061436887   9.010000000
  8.522301809   -1.107727155   9.010000000
  8.581082506   -1.152017908   9.010000000
  8.637008812   -1.194228800   9.010000000
  8.690043961   -1.234285620   9.010000000
  8.740151862   -1.272121341   9.010000000
  8.787296834   -1.307676983   9.010000000
  8.831443439   -1.340902224   9.010000000
  8.872556409   -1.371755733   9.010000000
  8.910600682   -1.400205185   9.010000000
  8.945541551   -1.426226977   9.010000000
  8.977344920   -1.449805627   9.010000000
  9.005977651   -1.470932919   9.010000000
  9.031407994   -1.489606804   9.010000000
  9.053606078   -1.505830144   9.010000000
  9.072544430   -1.519609342   9.010000000
  9.088198512   -1.530952944   9.010000000
  9.110188108   -1.642015918   9.509800000
  9.093173068   -1.634667678   9.509800000
  9.072540097   -1.625853839   9.509800000
  9.048292934   -1.615622376   9.509800000
  9.020438342   -1.604023103   9.509800000
